type,time,file_count,usb_flag,login_hour
login,1712204092,16,0,3
login,1712205984,8,0,9
login,1712221808,2,0,15
login,1712218333,2,0,8
login,1712206080,6,0,15
login,1712206303,5,0,9
login,1712212288,7,0,12
file_access,1712212159,3,0,18
login,1712215132,1,0,18
file_access,1712208580,3,0,10
login,1712219208,3,0,10
file_access,1712215169,33,0,22
login,1712214058,6,0,10
login,1712219104,1,0,13
file_access,1712215400,6,0,14
login,1712204623,30,0,23
login,1712220402,8,0,9
login,1712218473,7,0,13
login,1712219992,3,0,9
login,1712218040,2,0,8
login,1712223072,3,0,15
login,1712208073,6,0,11
file_access,1712204160,19,1,1
file_access,1712206688,5,0,8
file_access,1712208400,1,0,9
file_access,1712225320,4,0,8
file_access,1712209328,2,0,15
login,1712214058,4,0,17
login,1712212198,34,0,0
login,1712204300,7,0,11
file_access,1712206912,4,0,18
file_access,1712215624,17,1,2
login,1712215914,4,0,18
login,1712206789,3,0,9
file_access,1712209020,3,0,9
file_access,1712221879,8,0,8
login,1712212210,3,0,11
login,1712220739,4,0,15
login,1712224192,5,0,9
login,1712210350,1,0,14
login,1712209718,22,1,0
login,1712205902,4,0,11
login,1712213680,5,0,13
file_access,1712213053,8,0,11
file_access,1712220240,39,1,1
login,1712205313,32,0,23
login,1712216240,33,0,22
file_access,1712223067,1,0,18
login,1712214742,5,0,14
login,1712216920,34,0,23
login,1712207080,27,0,0
login,1712205214,18,1,3
file_access,1712226180,4,0,15
file_access,1712217925,1,0,11
login,1712226640,1,0,14
file_access,1712212773,4,0,11
file_access,1712219844,8,0,16
file_access,1712219683,1,0,8
login,1712213420,1,0,11
file_access,1712205145,3,0,16
login,1712206396,8,0,10
login,1712214573,2,0,13
login,1712229512,6,0,16
file_access,1712223655,6,0,17
file_access,1712228750,2,0,14
file_access,1712219829,6,0,15
login,1712208820,27,0,0
file_access,1712220240,1,0,18
login,1712221082,5,0,15
login,1712213770,8,0,12
file_access,1712220224,2,0,10
file_access,1712229298,1,0,11
login,1712206192,7,0,16
file_access,1712223051,15,0,3
file_access,1712221840,5,0,13
file_access,1712220097,6,0,8
file_access,1712222794,2,0,10
login,1712223144,2,0,17
file_access,1712224288,1,0,15
login,1712214045,3,0,13
login,1712226600,7,0,17
login,1712220559,6,0,15
login,1712225996,2,0,15
login,1712223941,3,0,15
file_access,1712230240,3,0,8
file_access,1712219241,8,0,18
login,1712222032,5,0,18
login,1712223478,1,0,8
file_access,1712224386,2,0,11
file_access,1712208800,8,0,15
login,1712225944,7,0,13
login,1712231301,6,0,11
login,1712221962,3,0,10
file_access,1712205580,5,0,16
login,1712219880,6,0,16
login,1712213769,3,0,17
login,1712210152,6,0,18
file_access,1712227451,1,0,12
login,1712233796,30,1,1
file_access,1712219665,4,0,14
file_access,1712206006,4,0,14
file_access,1712234440,34,0,1
file_access,1712206912,4,0,12
file_access,1712209826,2,0,10
login,1712226680,28,1,0
login,1712216296,5,0,11
login,1712223068,1,0,15
file_access,1712215236,20,0,1
login,1712207938,29,1,1
file_access,1712224780,3,0,14
file_access,1712218352,4,0,16
file_access,1712215147,5,0,9
login,1712212218,4,0,14
file_access,1712210465,3,0,18
login,1712212900,8,0,12
file_access,1712218060,2,0,15
file_access,1712231408,3,0,13
login,1712225149,8,0,17
file_access,1712212768,7,0,13
file_access,1712230195,3,0,11
login,1712222644,2,0,17
login,1712218727,4,0,18
login,1712221252,18,1,1
file_access,1712210815,1,0,18
file_access,1712229140,29,1,22
login,1712215861,5,0,17
login,1712206864,3,0,11
file_access,1712228170,29,1,22
login,1712234226,8,0,12
login,1712227405,7,0,10
file_access,1712214536,4,0,11
login,1712234236,1,0,17
login,1712220352,1,0,11
file_access,1712236047,8,0,14
login,1712235840,4,0,12
login,1712231779,6,0,18
file_access,1712233488,8,0,15
file_access,1712227778,7,0,12
login,1712235640,2,0,17
login,1712231850,6,0,13
login,1712215974,24,1,3
file_access,1712213734,29,0,2
login,1712222304,5,0,12
login,1712238164,6,0,17
file_access,1712235310,8,0,16
login,1712217543,6,0,16
file_access,1712215272,8,0,9
file_access,1712215318,39,1,3
login,1712232732,4,0,14
login,1712240200,7,0,13
login,1712207392,1,0,16
file_access,1712228308,6,0,12
login,1712208788,2,0,13
file_access,1712231527,17,0,2
login,1712231280,27,1,23
login,1712219437,4,0,16
file_access,1712217784,1,0,8
file_access,1712236015,5,0,10
file_access,1712214448,7,0,12
login,1712216905,37,0,22
file_access,1712213840,4,0,11
login,1712206940,8,0,16
login,1712233060,7,0,14
login,1712206980,3,0,18
file_access,1712218900,2,0,14
login,1712236153,7,0,18
file_access,1712222176,1,0,8
login,1712218003,20,1,1
login,1712209558,27,0,2
login,1712223075,1,0,13
login,1712222072,3,0,9
file_access,1712231416,6,0,8
file_access,1712241528,4,0,17
file_access,1712214001,7,0,12
file_access,1712226640,5,0,15
file_access,1712235378,3,0,12
file_access,1712240182,7,0,12
login,1712218513,8,0,12
login,1712229848,7,0,15
login,1712220805,8,0,10
file_access,1712236234,5,0,13
login,1712222387,2,0,17
login,1712225760,7,0,18
login,1712230258,7,0,13
file_access,1712211840,31,0,22
file_access,1712231535,2,0,17
login,1712225668,1,0,17
file_access,1712235062,6,0,14
login,1712213464,2,0,11
login,1712216500,4,0,13
file_access,1712223688,3,0,17
file_access,1712234684,36,1,23
login,1712223814,5,0,16
file_access,1712226151,2,0,16
file_access,1712220140,2,0,11
file_access,1712214478,8,0,11
file_access,1712230178,4,0,8
login,1712244811,7,0,18
login,1712230336,8,0,12
login,1712238500,1,0,11
login,1712242846,6,0,14
file_access,1712242957,3,0,14
file_access,1712214744,20,1,22
login,1712209336,4,0,11
file_access,1712237440,4,0,12
file_access,1712212121,2,0,16
file_access,1712216464,8,0,16
login,1712218864,6,0,18
login,1712227186,1,0,18
file_access,1712232785,4,0,10
file_access,1712244352,33,0,23
file_access,1712225805,6,0,13
login,1712233034,4,0,10
file_access,1712211571,4,0,8
file_access,1712216000,4,0,12
file_access,1712221253,4,0,9
file_access,1712245024,3,0,10
file_access,1712216120,1,0,17
login,1712225452,1,0,13
login,1712213770,2,0,17
file_access,1712227202,2,0,15
file_access,1712243142,6,0,12
login,1712244064,2,0,15
login,1712240491,6,0,8
file_access,1712244280,2,0,11
file_access,1712227948,2,0,17
login,1712225132,4,0,18
file_access,1712245843,2,0,13
file_access,1712231050,3,0,12
file_access,1712248970,4,0,16
login,1712240768,8,0,8
login,1712235862,2,0,9
file_access,1712224662,32,1,2
file_access,1712243995,2,0,8
file_access,1712221000,4,0,14
file_access,1712231996,7,0,8
file_access,1712208862,25,1,22
file_access,1712232148,25,1,0
login,1712210600,19,0,2
login,1712244625,3,0,10
file_access,1712235784,8,0,15
file_access,1712224766,16,1,0
file_access,1712227392,1,0,10
login,1712241184,4,0,8
login,1712212040,7,0,8
login,1712213361,2,0,14
login,1712212528,3,0,15
file_access,1712218619,28,0,3
login,1712216492,8,0,15
file_access,1712247415,5,0,12
file_access,1712247088,5,0,8
login,1712229716,2,0,12
file_access,1712217958,4,0,17
login,1712229413,5,0,8
file_access,1712251040,6,0,11
file_access,1712245864,25,1,23
file_access,1712231382,1,0,15
login,1712248287,8,0,15
file_access,1712231080,39,0,23
login,1712246725,23,0,1
file_access,1712238356,8,0,15
file_access,1712212069,24,0,0
file_access,1712235840,3,0,12
login,1712244002,8,0,9
file_access,1712233300,4,0,12
file_access,1712237884,5,0,17
file_access,1712222148,4,0,14
login,1712240317,8,0,17
file_access,1712242676,5,0,17
file_access,1712230940,8,0,8
file_access,1712234200,3,0,13
file_access,1712233361,4,0,16
login,1712209618,4,0,17
file_access,1712221114,5,0,9
file_access,1712217940,5,0,15
file_access,1712219362,3,0,15
file_access,1712220790,8,0,17
file_access,1712248615,6,0,8
login,1712223664,4,0,14
login,1712233015,1,0,14
file_access,1712254988,6,0,8
file_access,1712231289,4,0,14
file_access,1712214508,6,0,12
file_access,1712225795,6,0,11
login,1712242770,4,0,18
login,1712236738,8,0,12
file_access,1712226432,6,0,11
login,1712223177,5,0,9
login,1712232232,4,0,18
login,1712219475,7,0,14
file_access,1712234748,8,0,13
login,1712245792,5,0,10
login,1712256404,5,0,14
file_access,1712240715,3,0,18
login,1712247040,2,0,13
login,1712227417,1,0,11
login,1712248200,5,0,11
file_access,1712229946,7,0,15
file_access,1712214520,6,0,18
file_access,1712245590,7,0,17
login,1712217496,17,0,2
login,1712218993,1,0,15
login,1712254168,8,0,13
login,1712216137,7,0,16
login,1712226460,2,0,13
login,1712239280,2,0,12
file_access,1712257072,5,0,15
login,1712259160,5,0,10
file_access,1712247424,3,0,13
login,1712219305,7,0,9
file_access,1712238688,1,0,12
login,1712241748,3,0,14
login,1712259760,7,0,13
file_access,1712236926,37,1,2
login,1712244000,6,0,15
file_access,1712247595,33,0,3
login,1712244176,2,0,11
file_access,1712241246,4,0,15
login,1712226712,7,0,12
login,1712240400,3,0,16
login,1712244528,1,0,8
login,1712256784,2,0,9
file_access,1712247752,4,0,13
file_access,1712215270,40,0,0
login,1712226520,5,0,11
login,1712247523,5,0,14
login,1712255296,7,0,13
file_access,1712223085,3,0,10
login,1712251914,2,0,8
file_access,1712238110,7,0,13
file_access,1712212384,18,1,22
file_access,1712254802,1,0,18
file_access,1712258534,3,0,14
file_access,1712258647,4,0,11
login,1712230680,6,0,16
login,1712228655,7,0,17
login,1712241760,3,0,18
login,1712241317,5,0,10
file_access,1712215720,7,0,14
login,1712227825,7,0,18
file_access,1712236820,8,0,15
login,1712226877,8,0,16
file_access,1712215312,3,0,9
file_access,1712228566,7,0,10
login,1712234450,3,0,13
file_access,1712236639,6,0,17
file_access,1712219684,1,0,18
file_access,1712244239,2,0,16
login,1712228836,4,0,17
login,1712244405,2,0,16
file_access,1712219832,1,0,10
file_access,1712231683,6,0,14
login,1712220982,3,0,17
file_access,1712222638,7,0,18
login,1712249140,6,0,14
file_access,1712227591,21,0,1
file_access,1712241192,2,0,14
file_access,1712246698,6,0,10
login,1712246240,30,1,22
file_access,1712225070,7,0,13
file_access,1712236036,5,0,18
login,1712263452,4,0,11
file_access,1712255348,28,0,0
file_access,1712250508,3,0,13
file_access,1712244550,1,0,11
file_access,1712211020,34,1,22
login,1712211040,5,0,12
file_access,1712228756,7,0,14
login,1712236010,4,0,13
file_access,1712216650,7,0,13
file_access,1712230024,4,0,8
login,1712264612,3,0,13
login,1712239618,2,0,15
file_access,1712229068,6,0,18
login,1712216800,6,0,15
login,1712258344,6,0,11
login,1712241026,2,0,15
file_access,1712214638,4,0,13
login,1712261476,4,0,9
login,1712234465,7,0,14
file_access,1712266788,39,0,22
login,1712249896,7,0,10
file_access,1712237488,6,0,10
file_access,1712251210,4,0,14
file_access,1712218810,3,0,13
file_access,1712259955,4,0,12
file_access,1712227456,8,0,11
file_access,1712224066,8,0,12
file_access,1712221238,2,0,16
file_access,1712250600,2,0,11
file_access,1712214400,1,0,18
login,1712263470,25,1,3
file_access,1712257222,2,0,8
login,1712235319,29,0,23
file_access,1712258000,27,0,1
login,1712233698,38,1,2
login,1712247724,5,0,8
file_access,1712237312,8,0,13
login,1712216352,5,0,16
file_access,1712219890,4,0,13
file_access,1712213478,6,0,14
login,1712265157,2,0,10
login,1712244688,20,0,0
file_access,1712267735,4,0,16
file_access,1712221830,3,0,9
file_access,1712227186,7,0,13
login,1712220720,7,0,14
login,1712231429,6,0,14
file_access,1712217226,6,0,12
file_access,1712269020,8,0,10
file_access,1712264964,2,0,9
login,1712260297,39,1,22
login,1712248438,5,0,15
login,1712225757,4,0,8
file_access,1712230000,29,0,22
login,1712251085,7,0,13
login,1712272240,1,0,12
login,1712266330,20,0,3
file_access,1712264628,39,1,22
login,1712233880,2,0,17
login,1712224240,2,0,12
login,1712254630,1,0,18
login,1712263840,3,0,11
file_access,1712220097,8,0,13
login,1712257950,6,0,10
file_access,1712259878,3,0,12
file_access,1712263648,2,0,18
file_access,1712268043,8,0,13
file_access,1712234998,4,0,18
file_access,1712215990,4,0,14
login,1712237576,8,0,11
file_access,1712253679,2,0,8
login,1712232136,1,0,13
login,1712255091,8,0,12
file_access,1712239680,1,0,18
login,1712257132,1,0,8
file_access,1712254114,8,0,14
login,1712243610,2,0,12
login,1712251792,7,0,10
file_access,1712213125,8,0,18
login,1712274494,4,0,11
login,1712264581,39,1,22
file_access,1712221352,23,1,3
file_access,1712247175,3,0,11
file_access,1712264260,2,0,15
file_access,1712241646,28,1,2
login,1712253088,4,0,14
login,1712255071,5,0,18
login,1712244380,1,0,9
file_access,1712267945,6,0,18
login,1712272504,5,0,16
file_access,1712236946,5,0,10
file_access,1712261886,1,0,17
file_access,1712216614,8,0,18
login,1712262720,6,0,10
login,1712225640,2,0,10
file_access,1712217334,29,1,22
login,1712260442,5,0,14
file_access,1712224472,3,0,10
file_access,1712230960,1,0,9
file_access,1712267830,5,0,16
file_access,1712266641,5,0,11
login,1712276464,1,0,8
login,1712224662,7,0,16
login,1712257200,16,1,1
file_access,1712250127,6,0,18
login,1712235208,7,0,12
file_access,1712264647,1,0,12
login,1712245126,8,0,17
file_access,1712261570,4,0,9
login,1712217056,4,0,8
login,1712214454,26,0,22
login,1712274354,3,0,16
login,1712262605,2,0,18
login,1712254780,7,0,11
file_access,1712215864,5,0,9
file_access,1712273482,4,0,18
file_access,1712234476,7,0,10
login,1712249136,6,0,14
login,1712237905,8,0,9
file_access,1712264602,3,0,16
login,1712219343,36,1,2
login,1712269472,3,0,8
file_access,1712274928,4,0,16
login,1712216750,4,0,16
login,1712253009,8,0,12
file_access,1712220832,35,1,3
file_access,1712238361,7,0,12
login,1712255942,7,0,13
login,1712279650,2,0,17
login,1712279092,4,0,16
file_access,1712276501,3,0,8
file_access,1712214238,27,1,22
file_access,1712253641,3,0,14
login,1712219720,3,0,14
login,1712249032,2,0,13
login,1712231372,4,0,12
file_access,1712234833,3,0,18
file_access,1712262244,4,0,18
file_access,1712268500,3,0,8
file_access,1712243218,1,0,15
file_access,1712225419,5,0,13
file_access,1712235776,8,0,16
login,1712249608,1,0,14
file_access,1712269000,4,0,9
login,1712216584,3,0,8
login,1712238060,6,0,15
file_access,1712240194,23,1,22
file_access,1712270094,21,0,0
login,1712252820,5,0,10
file_access,1712221576,3,0,13
file_access,1712241820,8,0,17
file_access,1712229316,1,0,12
file_access,1712220271,1,0,9
login,1712226600,6,0,14
file_access,1712256080,1,0,12
file_access,1712251246,33,0,1
file_access,1712233744,1,0,15
file_access,1712249984,4,0,12
login,1712273320,5,0,18
file_access,1712247302,16,0,22
file_access,1712253732,8,0,11
file_access,1712255932,4,0,13
file_access,1712277281,2,0,16
file_access,1712229110,5,0,13
file_access,1712230573,2,0,18
login,1712266216,1,0,9
file_access,1712277004,5,0,16
file_access,1712238556,2,0,15
file_access,1712218590,1,0,11
file_access,1712263724,8,0,10
login,1712216491,7,0,9
file_access,1712256004,5,0,11
login,1712261834,7,0,16
file_access,1712230240,6,0,16
login,1712280031,7,0,11
file_access,1712254150,8,0,9
file_access,1712235427,2,0,16
file_access,1712240544,8,0,11
file_access,1712234800,5,0,12
login,1712247190,3,0,10
file_access,1712285059,5,0,11
login,1712287360,2,0,13
file_access,1712270713,3,0,16
login,1712283220,7,0,15
login,1712274562,7,0,17
login,1712254168,1,0,15
login,1712233718,6,0,10
login,1712266060,1,0,15
login,1712251450,3,0,8
login,1712263296,29,1,1
login,1712275911,37,0,3
file_access,1712247232,4,0,12
file_access,1712241384,8,0,17
file_access,1712215540,8,0,16
file_access,1712231863,18,1,23
file_access,1712246004,5,0,11
file_access,1712260926,2,0,18
file_access,1712280352,8,0,9
file_access,1712223840,5,0,15
login,1712276838,5,0,13
login,1712268724,7,0,18
login,1712284524,2,0,15
login,1712216478,28,1,2
login,1712236750,7,0,13
login,1712283361,6,0,10
login,1712237600,8,0,13
login,1712277559,7,0,8
file_access,1712242224,1,0,15
login,1712237750,5,0,15
file_access,1712254432,5,0,18
file_access,1712236336,6,0,13
file_access,1712227288,3,0,9
login,1712278936,1,0,12
login,1712218240,2,0,17
login,1712221308,7,0,14
file_access,1712266294,8,0,17
file_access,1712222127,2,0,13
file_access,1712271052,4,0,11
login,1712252020,20,0,23
file_access,1712258216,4,0,16
file_access,1712221476,5,0,15
file_access,1712244544,1,0,16
file_access,1712223839,1,0,8
file_access,1712286240,4,0,17
login,1712287894,8,0,8
login,1712236284,8,0,13
login,1712284257,2,0,14
login,1712234830,7,0,16
login,1712227900,2,0,15
file_access,1712234144,1,0,16
file_access,1712269153,5,0,8
login,1712223340,7,0,8
login,1712262320,4,0,13
file_access,1712253820,6,0,16
file_access,1712259356,7,0,14
file_access,1712243792,8,0,11
login,1712228971,1,0,9
file_access,1712248608,2,0,15
file_access,1712260445,3,0,9
file_access,1712259736,39,1,22
file_access,1712276339,5,0,17
login,1712222064,8,0,16
login,1712216569,29,1,22
file_access,1712284530,6,0,9
file_access,1712260116,5,0,12
file_access,1712253856,2,0,9
file_access,1712229341,7,0,12
login,1712295280,1,0,12
file_access,1712228620,32,1,3
file_access,1712244576,8,0,16
login,1712234271,7,0,17
login,1712283790,38,1,22
file_access,1712279900,5,0,11
login,1712221600,4,0,16
login,1712257672,2,0,10
file_access,1712256942,8,0,13
login,1712230514,5,0,10
login,1712295676,1,0,8
file_access,1712270840,7,0,13
login,1712216926,7,0,17
file_access,1712239543,8,0,15
login,1712271912,7,0,17
file_access,1712269574,4,0,12
file_access,1712243740,6,0,13
login,1712288399,38,0,0
login,1712248720,8,0,9
login,1712256910,33,0,23
login,1712235002,2,0,13
login,1712270090,7,0,14
login,1712254672,4,0,17
file_access,1712296406,2,0,13
login,1712275256,22,0,2
file_access,1712235217,3,0,10
login,1712219680,3,0,18
file_access,1712250902,5,0,8
login,1712252608,7,0,8
login,1712291353,1,0,14
file_access,1712240376,6,0,12
login,1712239600,3,0,12
login,1712231388,2,0,12
file_access,1712270295,4,0,13
file_access,1712238088,1,0,12
file_access,1712245595,39,0,0
file_access,1712229050,4,0,18
login,1712296396,7,0,15
file_access,1712259072,6,0,15
login,1712259143,1,0,8
login,1712272558,6,0,8
file_access,1712260120,5,0,12
login,1712242636,7,0,11
login,1712289559,7,0,15
file_access,1712284638,5,0,10
login,1712242789,2,0,11
login,1712255440,3,0,15
login,1712273167,5,0,8
login,1712267360,1,0,13
file_access,1712234563,4,0,11
login,1712286088,3,0,13
file_access,1712238870,8,0,10
login,1712255836,7,0,14
login,1712277924,2,0,8
file_access,1712270384,7,0,8
login,1712296786,23,0,2
login,1712217000,1,0,9
file_access,1712245103,2,0,9
login,1712284348,4,0,10
file_access,1712279329,1,0,16
file_access,1712253802,8,0,14
login,1712230780,34,0,0
login,1712243656,40,1,23
login,1712232566,7,0,15
file_access,1712224882,5,0,8
file_access,1712262707,2,0,17
login,1712274820,7,0,10
login,1712235301,1,0,15
file_access,1712266374,8,0,14
login,1712288026,3,0,9
login,1712250112,4,0,17
login,1712228545,1,0,13
file_access,1712254558,27,1,1
login,1712228611,2,0,13
file_access,1712262496,1,0,17
file_access,1712234760,35,0,1
file_access,1712240020,7,0,17
login,1712234840,4,0,17
login,1712275864,2,0,15
login,1712248888,8,0,9
login,1712231464,4,0,14
file_access,1712301500,1,0,14
login,1712224528,8,0,12
file_access,1712218417,6,0,15
file_access,1712252680,1,0,17
file_access,1712301085,6,0,11
file_access,1712302960,7,0,8
login,1712247574,17,0,3
login,1712278498,2,0,12
file_access,1712264459,8,0,9
file_access,1712259228,24,1,23
login,1712266375,2,0,11
file_access,1712238984,16,0,0
login,1712305553,5,0,10
login,1712262160,5,0,11
login,1712266675,8,0,11
file_access,1712256960,30,1,2
file_access,1712233858,7,0,15
login,1712259764,35,0,1
file_access,1712251794,2,0,9
file_access,1712218774,1,0,18
login,1712271600,3,0,12
file_access,1712261824,2,0,8
file_access,1712274451,27,1,1
file_access,1712305964,1,0,15
login,1712243152,5,0,15
login,1712305300,37,0,0
login,1712243248,5,0,11
login,1712300122,34,1,22
login,1712218060,6,0,15
file_access,1712233448,6,0,17
file_access,1712295025,5,0,10
file_access,1712254360,27,0,3
login,1712294328,4,0,18
file_access,1712308960,4,0,9
file_access,1712258176,4,0,14
file_access,1712250050,3,0,14
file_access,1712265592,7,0,17
file_access,1712250160,7,0,17
login,1712218260,6,0,11
login,1712241130,8,0,14
login,1712305225,6,0,8
file_access,1712275112,8,0,14
file_access,1712278862,8,0,9
login,1712246818,23,1,23
file_access,1712254221,8,0,18
login,1712219320,38,0,0
file_access,1712252497,7,0,11
login,1712302342,1,0,12
login,1712225844,3,0,12
file_access,1712272996,7,0,15
login,1712238850,2,0,8
file_access,1712238892,5,0,11
login,1712255620,35,0,3
login,1712249184,4,0,17
file_access,1712227870,5,0,15
login,1712266030,5,0,15
login,1712309858,2,0,18
login,1712241008,25,1,1
login,1712276506,5,0,10
file_access,1712271918,6,0,11
login,1712278540,32,0,23
login,1712243056,1,0,10
login,1712287141,1,0,11
file_access,1712245962,5,0,8
login,1712249767,6,0,8
login,1712287420,2,0,10
login,1712238581,2,0,12
login,1712264056,5,0,11
file_access,1712253751,2,0,15
login,1712227376,3,0,16
login,1712239690,5,0,13
login,1712300276,31,1,23
file_access,1712305117,2,0,18
file_access,1712244556,30,0,3
file_access,1712266430,4,0,15
login,1712265550,7,0,12
file_access,1712254207,2,0,16
login,1712279968,4,0,9
login,1712281005,2,0,17
file_access,1712253424,3,0,10
login,1712242975,8,0,12
login,1712310896,8,0,12
login,1712228710,6,0,11
file_access,1712289094,7,0,8
login,1712257540,21,1,2
login,1712259520,1,0,11
login,1712295139,3,0,13
file_access,1712281770,3,0,8
login,1712285707,2,0,11
file_access,1712267480,5,0,8
file_access,1712254040,6,0,8
login,1712293702,3,0,12
file_access,1712287997,3,0,12
file_access,1712309384,7,0,15
login,1712312404,2,0,13
login,1712226190,6,0,16
file_access,1712221362,8,0,15
file_access,1712281648,1,0,16
file_access,1712305084,8,0,9
file_access,1712242856,1,0,14
login,1712282875,2,0,17
file_access,1712258560,8,0,11
file_access,1712311378,5,0,11
login,1712286064,32,0,2
login,1712291047,8,0,17
login,1712253900,7,0,9
login,1712296138,18,1,3
login,1712233388,4,0,12
file_access,1712317960,5,0,14
file_access,1712298400,2,0,18
file_access,1712250235,7,0,13
login,1712244370,8,0,15
file_access,1712247376,5,0,17
file_access,1712260268,5,0,11
login,1712221758,7,0,18
file_access,1712310880,7,0,18
file_access,1712317929,3,0,12
login,1712276384,1,0,16
file_access,1712272489,6,0,11
file_access,1712274550,6,0,18
file_access,1712223880,30,1,2
login,1712257768,4,0,13
